Student Age,Income,Demographics,Learning Methods,Listening Skills,Study Hours per Week,Tech Proficiency,Attendance Rate,Time Management Skills,Motivation Level,Family Support,Correct Response Rate,Response Time (ms),Confidence Level,Recommended Learning Path,Intervention Flag,Content Difficulty Level,Number of Tutor Sessions,Engagement with Supplemental Resources,Personalization Score
33,72121,Urban,Offline,Kinesthetic,20,Advanced,58.08,Good,6,Low,0.71,2542,9.9,"Linear Regression, Neural Networks, Deep Learning",False,Medium,11,0.68,0.34
18,90987,Suburban,Offline,Hearing,16,Intermediate,52.23,Good,3,Medium,0.89,10765,3.4,"Linear Regression, Neural Networks, Deep Learning",True,Hard,8,0.59,0.58
31,55286,Urban,Hybrid,Visual,17,Intermediate,76.95,Poor,3,High,0.83,12657,2.0,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,2,0.79,0.12
25,77372,Rural,Offline,Kinesthetic,3,Beginner,75.85,Poor,9,Low,0.69,10461,7.5,"Algorithms, Data Structures, System Design",True,Medium,8,0.15,0.73
19,53496,Suburban,Hybrid,Visual,11,Advanced,96.4,Average,9,Medium,0.83,5573,8.7,"Linear Regression, Neural Networks, Deep Learning",False,Hard,14,0.01,0.07
30,40466,Urban,Hybrid,Visual,1,Intermediate,76.48,Average,3,Medium,0.74,1375,9.1,"Statistical Analysis, Data Visualization, Data Cleaning",True,Hard,0,0.04,0.61
33,30015,Rural,Offline,Hearing,29,Beginner,65.53,Poor,2,Low,0.54,9268,8.4,"Algorithms, Data Structures, System Design",True,Hard,3,0.02,0.06
19,63631,Urban,Online,Kinesthetic,17,Beginner,61.76,Poor,2,Medium,0.87,8895,6.3,"Algorithms, Data Structures, System Design",True,Medium,8,0.66,0.54
22,94811,Suburban,Offline,Kinesthetic,20,Intermediate,77.68,Poor,3,Low,0.94,17958,8.6,"Linear Regression, Neural Networks, Deep Learning",False,Hard,8,0.67,0.51
19,11559,Urban,Hybrid,Visual,28,Advanced,67.06,Good,5,High,0.71,18337,4.2,"Linear Regression, Neural Networks, Deep Learning",True,Medium,10,0.24,0.95
18,80220,Suburban,Online,Hearing,20,Advanced,53.6,Average,7,Low,0.76,16111,9.3,"Algorithms, Data Structures, System Design",False,Easy,6,0.54,0.32
31,20479,Rural,Hybrid,Kinesthetic,3,Intermediate,89.81,Good,9,High,0.74,19596,2.3,"Statistical Analysis, Data Visualization, Data Cleaning",False,Medium,4,0.31,0.81
29,79360,Suburban,Hybrid,Visual,31,Intermediate,94.05,Average,8,Medium,0.54,12925,4.9,"Linear Regression, Neural Networks, Deep Learning",False,Hard,8,0.68,0.06
25,92431,Suburban,Offline,Hearing,14,Beginner,90.8,Good,7,Low,0.99,10404,2.5,"Linear Regression, Neural Networks, Deep Learning",False,Medium,13,0.62,0.17
19,57657,Suburban,Offline,Kinesthetic,6,Intermediate,63.33,Poor,9,Low,0.73,13387,7.3,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,2,0.72,0.88
31,80589,Rural,Hybrid,Visual,25,Advanced,72.42,Average,9,Medium,0.75,19050,8.6,"Linear Regression, Neural Networks, Deep Learning",False,Easy,7,0.61,0.44
24,49043,Rural,Online,Visual,19,Beginner,66.77,Poor,1,Low,0.75,14219,8.6,"Algorithms, Data Structures, System Design",True,Medium,5,0.45,0.75
33,71045,Rural,Hybrid,Visual,6,Beginner,66.51,Good,6,Low,0.67,2378,4.0,"Algorithms, Data Structures, System Design",True,Medium,5,0.61,0.18
23,88865,Rural,Hybrid,Hearing,21,Beginner,79.84,Poor,9,Medium,0.73,19157,7.7,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,14,0.11,0.68
27,26896,Rural,Online,Kinesthetic,16,Intermediate,99.63,Average,6,Medium,0.59,5547,2.7,"Statistical Analysis, Data Visualization, Data Cleaning",False,Easy,5,0.5,0.93
33,81883,Rural,Online,Hearing,39,Advanced,61.79,Poor,1,High,0.57,5905,8.7,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,0,0.48,0.06
22,75537,Suburban,Offline,Kinesthetic,34,Beginner,74.39,Poor,2,High,0.85,4943,9.6,"Algorithms, Data Structures, System Design",True,Easy,14,0.97,0.29
30,28137,Suburban,Online,Hearing,33,Intermediate,71.55,Average,5,Medium,0.99,14643,2.4,"Linear Regression, Neural Networks, Deep Learning",True,Easy,10,0.98,0.53
30,62450,Suburban,Offline,Visual,26,Beginner,82.79,Poor,2,Medium,0.95,3278,6.3,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,6,0.13,0.29
26,24007,Suburban,Hybrid,Hearing,38,Advanced,82.32,Poor,5,Medium,0.63,16044,5.4,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,9,0.92,0.87
28,96083,Rural,Hybrid,Kinesthetic,31,Beginner,86.15,Poor,3,Medium,0.92,17796,5.4,"Statistical Analysis, Data Visualization, Data Cleaning",True,Easy,13,0.72,0.83
34,54405,Urban,Online,Visual,9,Intermediate,64.76,Poor,8,Medium,0.64,7393,3.0,"Linear Regression, Neural Networks, Deep Learning",True,Easy,4,0.0,0.21
27,49198,Rural,Online,Hearing,23,Beginner,71.27,Poor,4,High,0.64,18176,8.1,"Statistical Analysis, Data Visualization, Data Cleaning",True,Easy,11,0.1,0.67
30,64922,Urban,Online,Visual,14,Beginner,59.61,Average,1,Low,0.89,19214,5.2,"Linear Regression, Neural Networks, Deep Learning",False,Hard,11,0.09,0.25
28,15910,Rural,Online,Hearing,30,Advanced,93.01,Good,3,Low,0.97,4976,3.7,"Algorithms, Data Structures, System Design",False,Hard,13,0.21,0.22
34,47867,Urban,Offline,Kinesthetic,4,Advanced,96.16,Average,7,High,0.52,13610,4.9,"Algorithms, Data Structures, System Design",False,Easy,6,0.04,0.09
19,88909,Urban,Offline,Visual,6,Intermediate,72.34,Poor,4,Low,0.67,17552,2.5,"Algorithms, Data Structures, System Design",False,Hard,10,0.11,0.61
24,48883,Suburban,Hybrid,Kinesthetic,39,Intermediate,66.89,Good,6,High,0.67,9990,2.6,"Algorithms, Data Structures, System Design",True,Easy,7,0.59,0.18
26,74955,Urban,Online,Kinesthetic,11,Beginner,98.21,Good,4,Low,0.88,16492,5.3,"Linear Regression, Neural Networks, Deep Learning",True,Medium,10,0.82,0.37
27,14850,Urban,Hybrid,Hearing,18,Intermediate,80.76,Good,5,Low,0.68,16764,7.8,"Algorithms, Data Structures, System Design",True,Easy,0,0.4,0.63
32,28109,Urban,Online,Visual,31,Beginner,55.78,Average,3,Low,0.56,19603,2.2,"Algorithms, Data Structures, System Design",True,Hard,1,0.27,0.91
25,67848,Suburban,Online,Hearing,19,Intermediate,90.43,Poor,8,Low,0.98,14932,1.4,"Algorithms, Data Structures, System Design",True,Easy,2,0.08,0.46
27,75512,Suburban,Online,Kinesthetic,18,Intermediate,58.0,Good,1,Medium,0.79,13346,3.8,"Algorithms, Data Structures, System Design",True,Medium,9,0.41,0.21
34,62219,Urban,Online,Visual,22,Beginner,65.28,Average,4,Low,0.6,19020,3.0,"Statistical Analysis, Data Visualization, Data Cleaning",True,Easy,2,0.1,0.92
33,96152,Rural,Online,Hearing,26,Beginner,81.48,Good,7,Low,0.6,16092,5.5,"Algorithms, Data Structures, System Design",False,Hard,13,0.15,0.99
22,42112,Urban,Online,Kinesthetic,39,Intermediate,72.53,Average,1,High,0.56,19671,5.1,"Linear Regression, Neural Networks, Deep Learning",True,Easy,9,0.25,0.29
33,27443,Urban,Hybrid,Kinesthetic,25,Beginner,87.72,Average,9,High,0.73,19556,6.1,"Linear Regression, Neural Networks, Deep Learning",True,Hard,10,0.81,0.9
27,35477,Rural,Hybrid,Visual,35,Intermediate,54.26,Good,6,Medium,0.54,17865,7.0,"Algorithms, Data Structures, System Design",False,Medium,3,0.95,0.17
23,46130,Rural,Offline,Hearing,2,Advanced,99.41,Good,4,High,0.96,10285,3.0,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,8,0.52,0.45
24,94218,Suburban,Offline,Kinesthetic,20,Intermediate,85.36,Good,4,Medium,0.54,4528,2.4,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,4,0.06,0.61
23,63956,Rural,Offline,Kinesthetic,34,Advanced,57.8,Poor,3,Low,0.93,16029,2.1,"Statistical Analysis, Data Visualization, Data Cleaning",False,Medium,2,0.13,0.7
29,20140,Suburban,Hybrid,Kinesthetic,2,Beginner,52.76,Poor,6,Low,0.91,2148,9.0,"Algorithms, Data Structures, System Design",True,Easy,2,0.08,0.32
30,71500,Rural,Online,Visual,18,Advanced,77.08,Average,8,Low,0.82,17925,3.2,"Linear Regression, Neural Networks, Deep Learning",True,Medium,6,0.56,0.0
20,38895,Rural,Offline,Visual,36,Advanced,82.92,Average,7,High,0.78,2310,9.1,"Linear Regression, Neural Networks, Deep Learning",True,Easy,4,0.98,0.22
29,58790,Urban,Online,Kinesthetic,9,Beginner,54.67,Average,9,Low,0.78,12403,3.8,"Linear Regression, Neural Networks, Deep Learning",True,Hard,2,0.16,0.59
32,49369,Rural,Hybrid,Hearing,27,Intermediate,88.99,Average,1,High,0.86,7720,8.4,"Algorithms, Data Structures, System Design",True,Medium,5,0.34,0.76
19,54981,Suburban,Online,Hearing,25,Intermediate,66.08,Poor,7,Medium,0.55,8324,3.7,"Algorithms, Data Structures, System Design",True,Medium,5,0.45,0.06
30,74203,Rural,Hybrid,Visual,27,Beginner,85.19,Good,1,Medium,0.52,7409,5.9,"Linear Regression, Neural Networks, Deep Learning",True,Easy,0,0.4,0.09
23,54464,Rural,Hybrid,Hearing,33,Intermediate,77.13,Good,2,High,0.8,11289,6.0,"Linear Regression, Neural Networks, Deep Learning",True,Easy,2,0.51,0.9
24,16301,Urban,Online,Hearing,16,Beginner,74.1,Poor,1,Medium,0.85,3609,2.8,"Statistical Analysis, Data Visualization, Data Cleaning",True,Easy,0,0.21,0.22
30,10124,Urban,Hybrid,Kinesthetic,8,Intermediate,62.34,Good,7,Medium,1.0,3679,6.4,"Statistical Analysis, Data Visualization, Data Cleaning",True,Easy,3,0.64,0.03
32,47682,Rural,Online,Kinesthetic,18,Beginner,75.38,Poor,3,High,0.6,12272,1.0,"Linear Regression, Neural Networks, Deep Learning",True,Hard,12,0.97,0.04
18,57291,Rural,Offline,Visual,3,Intermediate,67.82,Average,9,Medium,0.98,11023,8.7,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,4,0.27,0.44
31,84250,Rural,Online,Kinesthetic,31,Beginner,56.53,Average,6,Low,0.63,4898,7.8,"Statistical Analysis, Data Visualization, Data Cleaning",False,Easy,10,0.79,0.5
25,52094,Suburban,Online,Kinesthetic,9,Advanced,84.01,Good,1,High,0.68,5612,2.9,"Algorithms, Data Structures, System Design",True,Hard,1,0.93,0.4
18,15157,Rural,Offline,Hearing,18,Intermediate,84.58,Poor,8,High,0.65,16570,7.3,"Algorithms, Data Structures, System Design",False,Hard,2,0.44,0.84
18,53128,Urban,Offline,Hearing,5,Intermediate,77.15,Average,9,High,0.57,18661,6.7,"Algorithms, Data Structures, System Design",False,Hard,2,0.68,0.32
25,41789,Rural,Offline,Hearing,26,Advanced,72.95,Poor,3,Medium,0.77,18511,9.1,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,12,0.72,0.84
29,86162,Suburban,Online,Hearing,36,Beginner,65.71,Poor,4,High,0.77,3933,1.1,"Statistical Analysis, Data Visualization, Data Cleaning",False,Easy,9,0.55,0.33
23,50110,Rural,Online,Kinesthetic,9,Intermediate,51.21,Poor,3,Medium,0.91,5895,8.8,"Linear Regression, Neural Networks, Deep Learning",True,Easy,12,0.52,0.54
26,66462,Suburban,Offline,Visual,14,Intermediate,76.62,Good,4,High,0.76,7114,9.6,"Algorithms, Data Structures, System Design",False,Medium,4,0.15,0.34
26,59550,Rural,Offline,Kinesthetic,23,Advanced,67.62,Poor,2,High,0.73,19753,9.6,"Statistical Analysis, Data Visualization, Data Cleaning",False,Medium,11,0.76,0.09
20,90546,Rural,Offline,Hearing,37,Advanced,78.99,Poor,9,Medium,0.51,5600,9.5,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,3,0.89,0.28
32,87799,Urban,Hybrid,Kinesthetic,29,Advanced,97.77,Poor,8,High,0.86,3673,4.0,"Algorithms, Data Structures, System Design",False,Medium,11,0.73,0.6
34,85233,Suburban,Online,Hearing,8,Advanced,77.51,Good,9,Low,0.78,2634,6.0,"Algorithms, Data Structures, System Design",False,Easy,4,0.64,0.21
23,40297,Rural,Hybrid,Hearing,37,Advanced,81.75,Poor,3,Low,0.91,1455,5.0,"Linear Regression, Neural Networks, Deep Learning",True,Easy,13,0.2,0.96
31,44708,Rural,Offline,Kinesthetic,8,Intermediate,65.82,Poor,9,High,0.59,2796,5.9,"Algorithms, Data Structures, System Design",False,Hard,2,0.45,0.43
20,38605,Suburban,Online,Hearing,34,Intermediate,65.37,Average,2,Low,0.99,2688,7.9,"Algorithms, Data Structures, System Design",True,Hard,6,0.43,0.47
22,59835,Urban,Offline,Visual,8,Beginner,69.14,Poor,1,Medium,0.87,3926,5.9,"Statistical Analysis, Data Visualization, Data Cleaning",True,Hard,10,0.77,0.35
26,33216,Urban,Hybrid,Kinesthetic,9,Intermediate,53.7,Average,4,Medium,0.84,12661,1.7,"Linear Regression, Neural Networks, Deep Learning",True,Medium,13,0.15,0.33
22,21519,Suburban,Hybrid,Hearing,9,Advanced,89.72,Good,7,Low,0.57,9691,4.1,"Algorithms, Data Structures, System Design",True,Hard,7,0.93,0.3
21,34642,Rural,Hybrid,Visual,25,Intermediate,75.91,Average,7,Medium,0.54,15848,4.5,"Algorithms, Data Structures, System Design",False,Easy,12,0.51,0.52
33,11434,Urban,Offline,Kinesthetic,13,Intermediate,92.7,Average,5,Medium,0.9,19883,1.4,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,1,0.95,0.15
18,12435,Suburban,Offline,Hearing,7,Intermediate,81.74,Poor,8,Medium,0.99,15579,3.1,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,4,0.8,0.38
18,28590,Suburban,Online,Hearing,29,Intermediate,85.96,Good,8,Low,0.87,6010,8.0,"Algorithms, Data Structures, System Design",False,Hard,10,0.76,0.44
28,49802,Urban,Offline,Hearing,10,Intermediate,76.75,Poor,7,Medium,0.63,2282,1.1,"Algorithms, Data Structures, System Design",True,Easy,14,0.2,0.04
33,43645,Urban,Offline,Hearing,34,Advanced,83.42,Average,5,High,0.87,12489,8.7,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,8,0.4,0.87
33,26591,Rural,Online,Hearing,20,Intermediate,72.19,Good,9,Medium,0.9,18873,8.3,"Linear Regression, Neural Networks, Deep Learning",True,Hard,6,0.13,0.78
24,19843,Rural,Hybrid,Visual,2,Beginner,62.3,Good,9,High,0.71,17955,7.5,"Algorithms, Data Structures, System Design",True,Hard,0,0.01,0.88
21,44873,Rural,Hybrid,Hearing,5,Beginner,51.45,Average,8,High,0.8,14478,2.2,"Linear Regression, Neural Networks, Deep Learning",True,Medium,5,0.04,0.52
33,37451,Urban,Online,Kinesthetic,33,Advanced,97.33,Good,3,Low,0.6,16914,2.8,"Linear Regression, Neural Networks, Deep Learning",True,Easy,7,0.05,0.1
19,15949,Suburban,Online,Hearing,8,Intermediate,58.93,Good,4,High,0.71,15066,5.0,"Linear Regression, Neural Networks, Deep Learning",True,Medium,1,0.96,0.96
30,83981,Urban,Online,Hearing,3,Advanced,52.66,Poor,7,Medium,0.81,5921,4.9,"Statistical Analysis, Data Visualization, Data Cleaning",True,Hard,9,0.73,0.43
34,20619,Urban,Online,Visual,26,Beginner,88.58,Average,9,High,0.73,5383,3.8,"Linear Regression, Neural Networks, Deep Learning",False,Medium,11,0.5,0.06
20,55718,Urban,Online,Hearing,39,Advanced,89.3,Poor,6,High,0.95,2008,6.3,"Algorithms, Data Structures, System Design",False,Medium,1,0.7,0.41
29,59412,Suburban,Hybrid,Hearing,23,Advanced,96.07,Poor,5,High,0.67,6911,3.4,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,14,0.77,0.88
26,57129,Urban,Hybrid,Visual,33,Intermediate,80.05,Poor,9,High,0.73,15007,9.2,"Algorithms, Data Structures, System Design",False,Easy,0,0.6,0.81
27,54294,Suburban,Offline,Visual,3,Advanced,87.9,Average,6,Medium,0.59,17331,7.5,"Linear Regression, Neural Networks, Deep Learning",True,Hard,6,0.09,0.73
26,66322,Suburban,Offline,Visual,10,Advanced,60.51,Average,4,Medium,0.64,2379,4.9,"Linear Regression, Neural Networks, Deep Learning",True,Hard,3,0.5,0.71
31,88817,Rural,Hybrid,Hearing,14,Intermediate,94.47,Good,2,High,0.89,8500,5.6,"Statistical Analysis, Data Visualization, Data Cleaning",False,Medium,4,0.89,0.61
19,16835,Rural,Hybrid,Hearing,21,Intermediate,81.2,Average,7,Low,0.69,18199,2.8,"Linear Regression, Neural Networks, Deep Learning",True,Easy,2,0.79,0.25
27,40220,Rural,Offline,Visual,4,Intermediate,69.73,Good,4,Low,0.91,13978,4.0,"Linear Regression, Neural Networks, Deep Learning",True,Hard,4,0.66,0.11
28,50071,Rural,Online,Kinesthetic,10,Beginner,73.08,Poor,3,Medium,0.99,19230,5.8,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,3,0.84,0.15
28,92723,Rural,Hybrid,Visual,27,Intermediate,77.75,Average,7,High,0.7,13346,4.3,"Algorithms, Data Structures, System Design",True,Easy,8,0.86,0.43
29,22845,Urban,Hybrid,Visual,27,Advanced,82.64,Good,8,Medium,0.84,16249,4.9,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,8,0.19,0.32
30,19753,Suburban,Offline,Kinesthetic,34,Intermediate,87.36,Good,4,Low,0.74,15096,1.5,"Linear Regression, Neural Networks, Deep Learning",False,Easy,13,0.77,0.59
21,49801,Urban,Offline,Visual,11,Advanced,99.36,Average,7,High,0.77,13036,3.8,"Statistical Analysis, Data Visualization, Data Cleaning",False,Easy,14,0.98,0.42
21,68416,Suburban,Online,Hearing,19,Intermediate,73.87,Average,8,Low,0.61,17242,3.3,"Statistical Analysis, Data Visualization, Data Cleaning",False,Medium,2,0.65,0.72
29,56321,Rural,Online,Visual,3,Advanced,76.57,Average,9,Medium,0.78,10155,9.4,"Algorithms, Data Structures, System Design",False,Easy,5,0.99,0.9
22,54321,Suburban,Online,Visual,31,Beginner,81.84,Good,3,High,0.64,7086,5.4,"Algorithms, Data Structures, System Design",True,Easy,1,0.66,0.8
22,96701,Rural,Hybrid,Visual,6,Intermediate,99.44,Good,6,Medium,0.74,17212,6.7,"Statistical Analysis, Data Visualization, Data Cleaning",False,Medium,0,0.49,0.73
20,38155,Urban,Online,Hearing,21,Beginner,82.66,Poor,9,Medium,0.87,3367,1.5,"Linear Regression, Neural Networks, Deep Learning",True,Hard,8,0.06,0.31
18,55298,Rural,Hybrid,Hearing,27,Beginner,87.33,Poor,2,Low,0.74,13172,4.9,"Algorithms, Data Structures, System Design",False,Hard,10,0.34,0.19
28,58203,Rural,Online,Hearing,9,Intermediate,97.68,Poor,6,High,0.87,14543,1.0,"Linear Regression, Neural Networks, Deep Learning",True,Hard,11,0.46,0.6
21,28730,Urban,Offline,Kinesthetic,13,Intermediate,92.16,Average,8,Low,0.59,5010,4.0,"Statistical Analysis, Data Visualization, Data Cleaning",False,Hard,13,0.1,0.9
27,56329,Urban,Online,Kinesthetic,1,Beginner,52.12,Good,1,Low,0.65,3705,2.2,"Linear Regression, Neural Networks, Deep Learning",True,Medium,6,0.87,0.31
23,87410,Urban,Online,Hearing,5,Advanced,89.55,Poor,8,Medium,0.55,12409,3.5,"Statistical Analysis, Data Visualization, Data Cleaning",True,Hard,8,0.24,0.89
32,56751,Rural,Offline,Hearing,24,Intermediate,75.17,Poor,7,High,0.55,2376,2.3,"Statistical Analysis, Data Visualization, Data Cleaning",True,Easy,2,0.73,0.1
21,10150,Suburban,Hybrid,Hearing,14,Beginner,59.54,Average,8,High,0.81,12187,5.4,"Statistical Analysis, Data Visualization, Data Cleaning",False,Easy,14,0.82,0.9
25,61106,Rural,Hybrid,Visual,18,Intermediate,61.33,Average,2,Low,0.86,17413,8.6,"Statistical Analysis, Data Visualization, Data Cleaning",False,Easy,13,0.82,0.85
31,75169,Urban,Online,Kinesthetic,37,Intermediate,95.39,Average,6,Low,0.99,16916,4.8,"Statistical Analysis, Data Visualization, Data Cleaning",True,Medium,7,0.87,0.22
25,94218,Rural,Hybrid,Visual,33,Advanced,88.09,Good,1,High,0.51,12791,6.9,"Algorithms, Data Structures, System Design",True,Hard,10,0.17,0.13
24,45564,Suburban,Hybrid,Kinesthetic,24,Advanced,88.53,Average,4,Low,0.61,5972,5.9,"Linear Regression, Neural Networks, Deep Learning",True,Medium,12,0.55,0.29
31,59914,Suburban,Offline,Hearing,5,Intermediate,59.25,Poor,3,Medium,0.76,1045,9.0,"Algorithms, Data Structures, System Design",False,Hard,9,0.42,0.97
19,24839,Urban,Hybrid,Hearing,29,Advanced,66.58,Good,8,Low,0.73,2437,2.7,"Linear Regression, Neural Networks, Deep Learning",True,Medium,2,0.44,0.19
33,16130,Rural,Offline,Kinesthetic,33,Intermediate,97.08,Good,1,Low,0.69,13250,1.8,"Linear Regression, Neural Networks, Deep Learning",True,Medium,4,0.83,0.0
26,14853,Urban,Hybrid,Visual,33,Advanced,71.34,Average,8,Low,0.54,13959,4.5,"Statistical Analysis, Data Visualization, Data Cleaning",True,Easy,10,0.74,0.72
34,59076,Suburban,Hybrid,Hearing,17,Intermediate,89.48,Average,5,Low,0.77,6471,7.9,"Algorithms, Data Structures, System Design",False,Hard,13,0.84,0.25
26,52397,Suburban,Hybrid,Kinesthetic,34,Intermediate,85.17,Poor,7,Medium,0.93,6976,1.2,"Linear Regression, Neural Networks, Deep Learning",False,Hard,1,0.03,0.71
21,39378,Suburban,Online,Visual,28,Intermediate,74.5,Average,4,Low,0.55,16031,3.4,"Linear Regression, Neural Networks, Deep Learning",True,Hard,5,0.08,0.85
19,49499,Urban,Online,Kinesthetic,22,Advanced,61.23,Good,3,Low,0.61,3501,1.6,"Algorithms, Data Structures, System Design",True,Medium,14,0.69,0.9
24,70740,Suburban,Online,Kinesthetic,13,Beginner,73.38,Good,9,Low,0.77,14501,5.3,"Algorithms, Data Structures, System Design",False,Easy,0,0.45,0.8
